51V,-0.402,,,,6.35,,,,0.0203,,5.07,,5.09,,4.9,
Cr,3.635,,,,,,,,1.66,,1.83,,3.49,,3.05,
50Cr,-4.5,,,,0.0,,,,2.54,,0.0,,2.54,,15.8,
52Cr,4.92,,,,0.0,,,,3.042,,0.0,,3.042,,0.76,
53Cr,-4.2,,,,6.87,,,,2.22,,5.93,,8.15,,18.1,1.5
54Cr,4.55,,,,0.0,,,,2.6,,0.0,,2.6,,0.36,
Mn,-3.73,,,,1.79,,,,1.75,,0.4,,2.15,,13.3,
Fe,9.45,,,,,,,,11.22,,0.4,,11.62,,2.56,
54Fe,4.2,,,,0.0,,,,2.2,,0.0,,2.2,,2.25,
56Fe,9.94,,,,0.0,,,,12.42,,0.0,,12.42,,2.59,
57Fe,2.3,,,,,,,,0.66,,0.3,,1.0,,2.48,
58Fe,15.0,7.0,,,0.0,,,,28.0,,0.0,,28.0,26.0,1.28,
Co,2.49,,,,-6.2,,,,0.779,,4.8,,5.6,,37.18,
Ni,10.3,,,,,,,,13.3,,5.2,,18.5,,4.49,
58Ni,14.4,,,,0.0,,,,26.1,,0.0,,26.1,,4.6,
60Ni,2.8,,,,0.0,,,,0.99,,0.0,,0.99,,2.9,
61Ni,7.6,,,,3.9,,,,7.26,,1.9,,9.2,,2.5,
62Ni,-8.7,,,,0.0,,,,9.5,,0.0,,9.5,,14.5,
64Ni,-0.37,,,,0.0,,,,0.017,,0.0,,0.017,,1.52,
Cu,7.718,,,,,,,,7.485,,0.55,,8.03,,3.78,
63Cu,6.43,,,,0.22,,,,5.2,,0.006,,5.2,,4.5,
65Cu,10.61,,,,1.79,,,,14.1,,0.4,,14.5,,2.17,
Zn,5.68,,,,,,,,4.054,,0.077,,4.131,,1.11,
64Zn,5.22,,,,0.0,,,,3.42,,0.0,,3.42,,0.93,
66Zn,5.97,,,,0.0,,,,4.48,,0.0,,4.48,,0.62,
67Zn,7.56,,,,-1.5,,,,7.18,,0.28,,7.46,,6.8,
68Zn,6.03,,,,0.0,,,,4.57,,0.0,,4.57,,1.1,
