# Numbers extracted using tools/atomic_weights.ipynb from https://www.ciaaw.org/atomic-masses.htm
Isotope,Atomic Mass [Da],Uncertainty [Da]
149Eu,148.917936875,0.000004190
149Gd,148.919347666,0.000003553
149Ho,148.933820457,0.000012866
149La,148.935351259,0.000214990
149Nd,148.920154583,0.000002205
149Pm,148.918341507,0.000002344
149Pr,148.9237361,0.000010600
149Sm,148.917191211,0.000001241
149Tb,148.923253792,0.000003895
149Tm,148.952828,0.000215
149Xe,148.964573,0.000322
149Yb,148.964219,0.000322
14B,14.02540401,0.000022773
14Be,14.04289292,0.000141970
14C,14.00324198862,0.00000000403
14F,14.034315196,0.000044142
14N,14.00307400425,0.00000000024
14O,14.008596706,0.000000027
150Ba,149.9464411,0.000006100
150Ce,149.930384032,0.000012556
150Cs,149.959023,0.000429
150Dy,149.925593068,0.000004636
150Er,149.937915524,0.000018458
150Eu,149.919707092,0.000006688
150Gd,149.918663949,0.000006500
150Ho,149.933498353,0.000015209
150La,149.9395475,0.000002700
150Lu,149.973407,0.000322
150Nd,149.920901322,0.000001211
150Pm,149.920990014,0.000021504
150Pr,149.926676391,0.000009677
150Sm,149.917281993,0.000001193
150Tb,149.923664799,0.000007912
150Tm,149.95009,0.000210
150Xe,149.968878,0.000322
150Yb,149.958314,0.000322
151Ba,150.951755,0.000429
151Ce,150.9342722,0.000019000
151Cs,150.963199,0.000537
151Dy,150.926191279,0.000003486
151Er,150.937448567,0.000017681
151Eu,150.919856606,0.000001251
151Gd,150.920354922,0.000003212
151Ho,150.931698176,0.000008908
151La,150.942769,0.000467500
151Lu,150.967471,0.000322
151Nd,150.923839363,0.000001215
151Pm,150.921216613,0.000004949
151Pr,150.928309066,0.000012506
151Sm,150.919938859,0.000001191
151Tb,150.92310897,0.000004395
151Tm,150.945494433,0.000020799
151Yb,150.955402453,0.000322591
152Ba,151.95533,0.000429
152Ce,151.936682,0.000215
152Cs,151.968728,0.000537
152Dy,151.924725274,0.000004930
152Er,151.935050347,0.000009478
152Eu,151.92175098,0.000001252
152Gd,151.919798414,0.000001081
152Ho,151.931717618,0.000013449
152La,151.947085,0.000322
152Lu,151.96412,0.000210
152Nd,151.924691242,0.000026276
152Pm,151.923505185,0.000027809
152Pr,151.9315529,0.000019900
152Sm,151.919738646,0.000001090
152Tb,151.924081855,0.000042955
152Tm,151.944476,0.000058000
152Yb,151.950326699,0.000160718
153Ba,152.960848,0.000429
153Ce,152.941052,0.000215
153Dy,152.925771729,0.000004295
153Er,152.93508635,0.000009967
153Eu,152.921236789,0.000001257
153Gd,152.921756945,0.000001075
153Hf,152.970692,0.000322
153Ho,152.930206671,0.000005438
153La,152.950553,0.000322
153Lu,152.958802248,0.000161050
153Nd,152.927717868,0.000002949
153Pm,152.924156252,0.000009729
153Pr,152.933903511,0.000012755
153Sm,152.922103576,0.000001100
153Tb,152.923441694,0.000004237
153Tm,152.942058023,0.000012860
153Yb,152.949372,0.000215
154Ba,153.964659,0.000537
154Ce,153.94394,0.000215
154Dy,153.92442892,0.000007977
154Er,153.932790799,0.000005325
154Eu,153.922985699,0.000001275
154Gd,153.920872974,0.000001066
154Hf,153.964863,0.000322
154Ho,153.930606776,0.000008820
154La,153.955416,0.000322
154Lu,153.957416,0.000216
154Nd,153.929597404,0.000001100
154Pm,153.926712791,0.000026861
154Pr,153.937885165,0.000107360
154Sm,153.922215756,0.000001400
154Tb,153.924683681,0.000048641
154Tm,153.941570062,0.000015471
154Yb,153.946395696,0.000018551
155Ce,154.948706,0.000322
155Dy,154.925758049,0.000010354
155Er,154.93321571,0.000006520
155Eu,154.922899847,0.000001343
155Gd,154.922629356,0.000001055
155Hf,154.963167,0.000322
155Ho,154.929103363,0.000018754
155La,154.95928,0.000429
155Lu,154.954326005,0.000020660
155Nd,154.933135598,0.000009826
155Pm,154.928136951,0.000005065
155Pr,154.940509193,0.000018462
155Sm,154.924646645,0.000001429
155Ta,154.974248,0.000322
155Tb,154.923509511,0.000010552
155Tm,154.939209576,0.000010651
155Yb,154.945783216,0.000017820
156Ce,155.951884,0.000322
156Dy,155.924283593,0.000001060
156Er,155.931065926,0.000026440
156Eu,155.924762976,0.000003791
156Gd,155.92213012,0.000001054
156Hf,155.959399083,0.000160752
156Ho,155.929641634,0.000041249
156La,155.964519,0.000429
156Lu,155.953086606,0.000058102
156Nd,155.935370358,0.000001400
156Pm,155.931114059,0.000001275
156Pr,155.9447669,0.000001100
156Sm,155.925538191,0.000009148
156Ta,155.972087,0.000322
156Tb,155.924754209,0.000004044
156Tm,155.938985746,0.000015328
156Yb,155.942817096,0.000009992
157Ce,156.957133,0.000429
157Dy,156.925469555,0.000005532
157Er,156.931922652,0.000028454
157Eu,156.925432556,0.000004545
157Gd,156.923967424,0.000001048
157Hf,156.958288,0.000215
157Ho,156.928251974,0.000025194
157La,156.968792,0.000322
157Lu,156.950144807,0.000012961
157Nd,156.939351074,0.000002294
157Pm,156.933121298,0.000007521
157Pr,156.9480031,0.000003400
157Sm,156.928418598,0.000004759
157Ta,156.968227445,0.000161087
157Tb,156.924031888,0.000001092
157Tm,156.936973,0.000030000
157W,156.978862,0.000429
157Yb,156.942651368,0.000011706
158Ce,157.960773,0.000429
158Dy,157.924414817,0.000002509
158Er,157.929893474,0.000027074
158Eu,157.927782192,0.000002181
158Gd,157.9241112,0.000001048
158Hf,157.954801217,0.000018780
158Ho,157.92894491,0.000029099
158Lu,157.94931562,0.000016236
158Nd,157.94220562,0.000001400
158Pm,157.936546948,0.000000953
158Pr,157.952603,0.000322
158Sm,157.929949262,0.000005133
158Ta,157.966593,0.000215
158Tb,157.925419942,0.000001360
158Tm,157.936979525,0.000027074
158W,157.974565,0.000322
158Yb,157.939871202,0.000008559
159Ce,158.966355,0.000537
159Dy,158.925745938,0.000001544
159Er,158.93069079,0.000003910
159Eu,158.929099512,0.000004637
159Gd,158.926395822,0.000001051
159Hf,158.953995837,0.000018049
159Ho,158.927718683,0.000003268
159Lu,158.946635615,0.000040433
159Nd,158.946619085,0.000032000
159Pm,158.939286409,0.000010777
159Pr,158.956232,0.000429
159Re,158.984106,0.000327
159Sm,158.93321713,0.000006370
159Ta,158.963028046,0.000021137
159Tb,158.925353707,0.000001184
159Tm,158.934975,0.000030000
159W,158.972696,0.000322
159Yb,158.940060257,0.000018874
15B,15.031087023,0.000022575
15Be,15.053490215,0.000177990
15C,15.010599256,0.000000858
15F,15.017785139,0.000015029
15N,15.00010889827,0.00000000062
15Ne,15.043172977,0.000071588
15O,15.003065636,0.000000526
160Dy,159.925203578,0.000000751
160Er,159.929077193,0.000026029
160Eu,159.931836982,0.000000970
160Gd,159.927061202,0.000001206
160Hf,159.950682728,0.000010241
160Ho,159.928735538,0.000016120
160Lu,159.946033,0.000061000
160Nd,159.949839172,0.000050000
160Pm,159.943215272,0.000002200
160Pr,159.961138,0.000429
160Re,159.98188,0.000322
160Sm,159.935337032,0.000002100
160Ta,159.961541678,0.000058310
160Tb,159.927174553,0.000001191
160Tm,159.935264177,0.000035089
160W,159.968513946,0.000160828
160Yb,159.93755921,0.000005900
161Dy,160.926939425,0.000000748
161Er,160.93000353,0.000009419
161Eu,160.933663991,0.000011164
161Gd,160.929676267,0.000001614
161Hf,160.950277927,0.000025174
161Ho,160.927861815,0.000002309
161Lu,160.943572,0.000030000
161Nd,160.954664,0.000429
161Os,160.989054,0.000429
161Pm,160.946229837,0.000009700
161Pr,160.965121,0.000537
161Re,160.977624313,0.000160930
161Sm,160.939160062,0.000007318
161Ta,160.958369489,0.000026174
161Tb,160.927576806,0.000001308
161Tm,160.933549,0.000030000
161W,160.967249,0.000215
161Yb,160.937912384,0.000016211
162Dy,161.926804507,0.000000746
162Er,161.928787299,0.000000811
162Eu,161.936958329,0.000001410
162Gd,161.930991812,0.000004254
162Hf,161.947215526,0.000009610
162Ho,161.929102543,0.000003330
162Lu,161.943282776,0.000080554
162Nd,161.958121,0.000429
162Os,161.984434,0.000322
162Pm,161.950574,0.000322
162Re,161.975896,0.000215
162Sm,161.941621687,0.000003782
162Ta,161.957292907,0.000067979
162Tb,161.9292754,0.000002200
162Tm,161.934001211,0.000027974
162W,161.963500341,0.000018955
162Yb,161.935779342,0.000016213
163Dy,162.928737221,0.000000744
163Er,162.930039908,0.000004967
163Eu,162.93926551,0.000000970
163Gd,162.93409664,0.000000855
163Hf,162.947107211,0.000027582
163Ho,162.92874026,0.000000744
163Ir,162.994299,0.000429
163Lu,162.941179,0.000030000
163Nd,162.963414,0.000537
163Os,162.982462,0.000322
163Pm,162.953881,0.000429
163Re,162.972085434,0.000019897
163Sm,162.945679085,0.000007900
163Ta,162.954337194,0.000040860
163Tb,162.930653609,0.000004358
163Tm,162.932658282,0.000005920
163W,162.962524251,0.000062722
163Yb,162.936345406,0.000016215
164Dy,163.929180819,0.000000746
164Er,163.929207739,0.000000755
164Eu,163.942852943,0.000002219
164Gd,163.935916193,0.000001073
164Hf,163.944370709,0.000016975
164Ho,163.930240548,0.000001492
164Ir,163.991966,0.000339
164Lu,163.941339,0.000030000
164Os,163.978073158,0.000160927
164Pm,163.958819,0.000429
164Re,163.970507122,0.000058566
164Sm,163.948550061,0.000004400
164Ta,163.953534,0.000030000
164Tb,163.933327561,0.000002000
164Tm,163.933538019,0.000026845
164W,163.958952445,0.000010384
164Yb,163.934500743,0.000016217
165Dy,164.931709402,0.000000748
165Er,164.930733482,0.000000985
165Eu,164.94554007,0.000005596
165Gd,164.93931708,0.000001400
165Hf,164.944567,0.000030000
165Ho,164.930329116,0.000000844
165Ir,164.987552,0.000170
165Lu,164.939406758,0.000028490
165Os,164.976654,0.000215
165Pm,164.96278,0.000537
165Pt,164.999658,0.000429
165Re,164.967085831,0.000025328
165Sm,164.95329,0.000429
165Ta,164.950780287,0.000014571
165Tb,164.934955198,0.000001654
165Tm,164.932441843,0.000001779
165W,164.958280663,0.000027649
165Yb,164.935270241,0.000028490
166Dy,165.93281281,0.000000862
166Er,165.930301067,0.000000358
166Eu,165.949813,0.000107
166Gd,165.941630413,0.000001700
166Hf,165.94218,0.000030000
166Ho,165.932291209,0.000000844
166Ir,165.985716,0.000215
166Lu,165.939859,0.000032000
166Os,165.972698135,0.000019287
166Pt,165.994866,0.000322
166Re,165.965821216,0.000094731
166Sm,165.956575,0.000429
166Ta,165.950512,0.000030000
166Tb,165.937939727,0.000001570
166Tm,165.933562136,0.000012401
166W,165.955031952,0.000010159
166Yb,165.933876439,0.000007515
167Dy,166.935682415,0.000004300
167Er,166.932056192,0.000000306
167Eu,166.953011,0.000429
167Gd,166.945490012,0.000005596
167Hf,166.9426,0.000030000
167Ho,166.933140254,0.000005570
167Ir,166.981671973,0.000019694
167Lu,166.938243,0.000040000
167Os,166.971552304,0.000086841
167Pt,166.99275,0.000329
167Re,166.962604,0.000043
167Sm,166.962072,0.000537
167Ta,166.948093,0.000030000
167Tb,166.940007046,0.000002071
167Tm,166.932857206,0.000001350
167W,166.95481108,0.000020078
167Yb,166.934954069,0.000004251
168Au,168.002716,0.000429
168Dy,167.937134977,0.000150303
168Er,167.932378282,0.000000280
168Eu,167.957863,0.000429
168Gd,167.948309,0.000322
168Hf,167.940568,0.000030000
168Ho,167.935523766,0.000032207
168Ir,167.979960978,0.000059277
168Lu,167.938729798,0.000040766
168Os,167.96779905,0.000010631
168Pt,167.988180196,0.000160960
168Re,167.961572607,0.000033087
168Sm,167.966033,0.000322
168Ta,167.948047,0.000030000
168Tb,167.943337074,0.000004500
168Tm,167.934178457,0.000001800
168W,167.951805459,0.000014233
168Yb,167.933891297,0.000000100
169Au,168.99808,0.000320
169Dy,168.940315231,0.000322781
169Er,168.934598444,0.000000326
169Eu,168.961717,0.000537
169Gd,168.952882,0.000429
169Hf,168.941259,0.000030000
169Ho,168.93687989,0.000021522
169Ir,168.976281743,0.000025020
169Lu,168.937645845,0.000003226
169Os,168.967017521,0.000027847
169Pt,168.986619,0.000215
169Re,168.958765979,0.000012204
169Ta,168.946011,0.000030000
169Tb,168.945807,0.000322
169Tm,168.934218956,0.000000792
169W,168.951778689,0.000016571
169Yb,168.935184208,0.000000191
16B,16.039841045,0.000026373
16Be,16.061672036,0.000177990
16C,16.014701255,0.000003840
16F,16.011460278,0.000005758
16N,16.006101925,0.000002470
16Ne,16.02575086,0.000021986
16O,15.99491461926,0.00000000032
170Au,169.996024,0.000216
170Dy,169.94234,0.000215
170Er,169.935471933,0.000001488
170Eu,169.96687,0.000537
170Gd,169.956146,0.000537
170Hf,169.939609,0.000030000
170Hg,170.005814,0.000324
170Ho,169.939626548,0.000053697
170Ir,169.975113,0.000109
170Lu,169.93847923,0.000018081
170Os,169.963579273,0.000010476
170Pt,169.982502087,0.000019588
170Re,169.958234844,0.000012267
170Ta,169.946175,0.000030000
170Tb,169.949855,0.000322
170Tm,169.935807093,0.000000785
170W,169.949231235,0.000014165
170Yb,169.934767242,0.000000011
171Au,170.991881533,0.000022236
171Dy,170.946312,0.000215
171Er,170.938037372,0.000001511
171Gd,170.961127,0.000537
171Hf,170.940492,0.000031000
171Hg,171.003585,0.000329
171Ho,170.941472713,0.000644128
171Ir,170.97164552,0.000041295
171Lu,170.937918591,0.000001999
171Os,170.963180402,0.000019589
171Pt,170.981248868,0.000086904
171Re,170.955716,0.000030000
171Ta,170.944476,0.000030000
171Tb,170.953011,0.000429
171Tm,170.936435162,0.000001043
171W,170.949451,0.000030000
171Yb,170.936331515,0.000000013
172Au,171.989996704,0.000060287
172Dy,171.948728,0.000322
172Er,171.939363461,0.000004253
172Gd,171.964605,0.000322
172Hf,171.939449716,0.000026224
172Hg,171.998860581,0.000161098
172Ho,171.94473,0.000210
172Ir,171.970607035,0.000034785
172Lu,171.93909132,0.000002507
172Os,171.960017309,0.000013704
172Pt,171.977341059,0.000011139
172Re,171.955376165,0.000038183
172Ta,171.944895,0.000030000
172Tb,171.957391,0.000537
172Tm,171.938406959,0.000005884
172W,171.947292,0.000030000
172Yb,171.936386654,0.000000014
173Au,172.986224263,0.000024458
173Dy,172.953043,0.000429
173Er,172.9424,0.000210
173Hf,172.940513,0.000030000
173Hg,172.997143,0.000215
173Ho,172.94702,0.000320
173Ir,172.967505477,0.000011316
173Lu,172.938935722,0.000001682
173Os,172.959808387,0.000016059
173Pt,172.976449922,0.000068096
173Re,172.953243,0.000030000
173Ta,172.94375,0.000030000
173Tb,172.960805,0.000537
173Tm,172.93960663,0.000004723
173W,172.947689,0.000030000
173Yb,172.938216211,0.000000012
174Au,173.984908,0.000109
174Dy,173.955845,0.000537
174Er,173.94423,0.000320
174Hf,173.940048377,0.000002425
174Hg,173.992870575,0.000020623
174Ho,173.950757,0.000322
174Ir,173.966949939,0.000012046
174Lu,173.94034284,0.000001682
174Os,173.957063192,0.000011008
174Pt,173.972820431,0.000011098
174Re,173.953115,0.000030000
174Ta,173.944454,0.000030000
174Tb,173.965679,0.000537
174Tm,173.942174061,0.000048010
174W,173.946079,0.000030000
174Yb,173.938867545,0.000000011
175Au,174.981316375,0.000041399
175Dy,174.960569,0.000537
175Er,174.94777,0.000430
175Hf,174.941511424,0.000002450
175Hg,174.991444451,0.000087047
175Ho,174.953516,0.000429
175Ir,174.964149519,0.000013295
175Lu,174.940777211,0.000001295
175Os,174.956945126,0.000012640
175Pt,174.972400593,0.000019982
175Re,174.951381,0.000030000
175Ta,174.943737,0.000030000
175Tm,174.94384231,0.000053677
175W,174.946717,0.000030000
175Yb,174.941281907,0.000000076
176Au,175.980116925,0.000035625
176Dy,175.963918,0.000537
176Er,175.94994,0.000430
176Hf,175.941409797,0.000001591
176Hg,175.98734867,0.000011936
176Ho,175.957713,0.000537
176Ir,175.963626261,0.000008679
176Lu,175.942691711,0.000001301
176Os,175.954770315,0.000011754
176Pt,175.968938162,0.000013647
176Re,175.951623,0.000030000
176Ta,175.944857,0.000033000
176Tl,176.000627731,0.000089166
176Tm,175.946997707,0.000107354
176W,175.945634,0.000030000
176Yb,175.942574706,0.000000015
177Au,176.976869701,0.000010700
177Er,176.95399,0.000540
177Hf,176.943230187,0.000001514
177Hg,176.98628459,0.000090952
177Ho,176.961052,0.000537
177Ir,176.9613015,0.000021213
177Lu,176.94376357,0.000001310
177Os,176.954957902,0.000015687
177Pt,176.968469541,0.000016090
177Re,176.950328,0.000030000
177Ta,176.94448194,0.000003558
177Tl,176.996414252,0.000023218
177Tm,176.948932,0.000215
177W,176.946643,0.000030000
177Yb,176.945263846,0.000000236
178Au,177.976056714,0.000011000
178Er,177.956779,0.000640
178Hf,177.943708322,0.000001519
178Hg,177.982484756,0.000011548
178Ho,177.965507,0.000537
178Ir,177.961079395,0.000020204
178Lu,177.945960065,0.000002416
178Os,177.953253334,0.000014634
178Pb,178.003836171,0.000024889
178Pt,177.965649288,0.000010878
178Re,177.950989,0.000030000
178Ta,177.94568,0.000056
178Tl,177.995047,0.000110
178Tm,177.952506,0.000322
178W,177.945885791,0.000016316
178Yb,177.9466694,0.000007072
179Au,178.973173666,0.000012555
179Er,178.961267,0.000537
179Hf,178.945825705,0.000001520
179Hg,178.981821759,0.000030188
179Ir,178.959117594,0.000010489
179Lu,178.947332985,0.000005528
179Os,178.953815985,0.000016645
179Pb,179.002202492,0.000087203
179Pt,178.965358742,0.000008563
179Re,178.949989686,0.000026450
179Ta,178.94593905,0.000001574
179Tl,178.991122185,0.000041495
179Tm,178.955018,0.000429
179W,178.947079378,0.000015644
179Yb,178.94993,0.000215
17B,17.046931399,0.000219114
17C,17.02257865,0.000018641
17F,17.002095237,0.000000266
17N,17.008448876,0.000016103
17Na,17.037273,0.000064000
17Ne,17.017713962,0.000000380
17O,16.99913175595,0.00000000069
180Au,179.972489738,0.000005108
180Er,179.96438,0.000537
180Hf,179.946559537,0.000001525
180Hg,179.97826018,0.000013574
180Ir,179.959229446,0.000023302
180Lu,179.949890744,0.000075926
180Os,179.952381665,0.000016878
180Pb,179.997916177,0.000013306
180Pt,179.96303801,0.000010790
180Re,179.950791568,0.000022965
180Ta,179.947467589,0.000002219
180Tl,179.98991895,0.000075058
180Tm,179.959023,0.000429
180W,179.946713304,0.000001545
180Yb,179.951991,0.000322
181Au,180.970079102,0.000021445
181Hf,180.949110834,0.000001527
181Hg,180.977819368,0.000016513
181Ir,180.957634691,0.000005631
181Lu,180.951908,0.000135000
181Os,180.953247188,0.000027201
181Pb,180.9966606,0.000091290
181Pt,180.963089946,0.000014695
181Re,180.950061507,0.000013471
181Ta,180.947998528,0.000001692
181Tl,180.986259978,0.000009771
181Tm,180.961954,0.000537
181W,180.948218733,0.000001554
181Yb,180.95589,0.000320
182Au,181.969614433,0.000020143
182Hf,181.950563684,0.000006619
182Hg,181.974689173,0.000010510
182Ir,181.958076296,0.000022509
182Lu,181.955158,0.000215
182Os,181.952110154,0.000023344
182Pb,181.992673537,0.000012975
182Pt,181.961171605,0.000014057
182Re,181.95121156,0.000109483
182Ta,181.950154612,0.000001693
182Tl,181.985692649,0.000012856
182Tm,181.966194,0.000537
182W,181.948205636,0.000000799
182Yb,181.958239,0.000429
183Au,182.967588106,0.000010116
183Hf,182.953533203,0.000032251
183Hg,182.974444652,0.000007604
183Ir,182.956841231,0.000026486
183Lu,182.957363,0.000086000
183Os,182.953125028,0.000053428
183Pb,182.991862527,0.000031110
183Pt,182.961595895,0.000015261
183Re,182.950821306,0.000008625
183Ta,182.95137538,0.000001707
183Tl,182.982192843,0.000010017
183W,182.950224416,0.000000798
183Yb,182.962426,0.000429
184Au,183.967451523,0.000023912
184Bi,184.001347,0.000131
184Hf,183.955448507,0.000042625
184Hg,183.971717709,0.000010235
184Ir,183.957476,0.000030000
184Lu,183.96103,0.000215
184Os,183.952492919,0.000000890
184Pb,183.988135634,0.000013743
184Pt,183.959921929,0.000015828
184Re,183.952528073,0.000004590
184Ta,183.954009958,0.000027923
184Tl,183.981874973,0.000010747
184W,183.95093318,0.000000792
184Yb,183.965002,0.000540
185Au,184.965798871,0.000002800
185Bi,184.9976,0.000087
185Hf,184.958862,0.000069000
185Hg,184.971890696,0.000014641
185Ir,184.956698,0.000030000
185Lu,184.963542,0.000322
185Os,184.954045969,0.000000893
185Pb,184.98761,0.000017364
185Pt,184.960613659,0.000027731
185Re,184.95295832,0.000000879
185Ta,184.955561317,0.000015202
185Tl,184.978789189,0.000022194
185W,184.953421206,0.000000793
185Yb,184.969425,0.000537
186Au,185.965952703,0.000022509
186Bi,185.996623169,0.000018200
186Hf,185.960897,0.000055000
186Hg,185.969362061,0.000012507
186Ir,185.957946754,0.000017740
186Lu,185.96745,0.000429
186Os,185.953837569,0.000000816
186Pb,185.984239409,0.000011813
186Po,186.004403174,0.000019622
186Pt,185.959350845,0.000023344
186Re,185.954989172,0.000000880
186Ta,185.958553036,0.000064425
186Tl,185.978654787,0.000022276
186W,185.95436514,0.000001302
187Au,186.964542147,0.000024153
187Bi,186.993147272,0.000010740
187Hf,186.964573,0.000215
187Hg,186.96981354,0.000013810
187Ir,186.957542,0.000030000
187Lu,186.970188,0.000429
187Os,186.955749569,0.000000791
187Pb,186.983910842,0.000005468
187Po,187.003031482,0.000035030
187Pt,186.960616646,0.000025837
187Re,186.955752217,0.000000791
187Ta,186.960391,0.000060000
187Tl,186.97590474,0.000008640
187W,186.957161249,0.000001302
188Au,187.965247966,0.000002900
188Bi,187.992276064,0.000012001
188Hf,187.966903,0.000322
188Hg,187.967580738,0.000007285
188Ir,187.958834999,0.000010116
188Lu,187.974428,0.000429
188Os,187.955837292,0.000000788
188Pb,187.980879079,0.000010868
188Po,187.999415586,0.000021438
188Pt,187.959397521,0.000005694
188Re,187.958113658,0.000000792
188Ta,187.963596,0.000215
188Tl,187.976020886,0.000032103
188W,187.958488325,0.000003316
189Au,188.963948286,0.000021558
189Bi,188.989195139,0.000022384
189Hf,188.970853,0.000322
189Hg,188.968194776,0.000033873
189Ir,188.958722602,0.000013500
189Os,188.958145949,0.000000715
189Pb,188.980843658,0.000015096
189Po,188.998473425,0.000023681
189Pt,188.960848485,0.000010832
189Re,188.959227764,0.000008793
189Ta,188.96569,0.000215
189Tl,188.973573525,0.000008983
189W,188.961557,0.000215
18B,18.055601683,0.000219180
18C,18.02675193,0.000032206
18F,18.000937324,0.000000497
18N,18.014077563,0.000019935
18Na,18.026879388,0.000100785
18Ne,18.005708696,0.000000390
18O,17.99915961214,0.00000000069
190Au,189.964751746,0.000003700
190Bi,189.988624828,0.000022515
190Hf,189.973376,0.000429
190Hg,189.96632225,0.000017076
190Ir,189.960543374,0.000001470
190Os,189.958445442,0.000000697
190Pb,189.978081872,0.000013434
190Po,189.995101731,0.000014131
190Pt,189.959949823,0.000000705
190Re,189.961800064,0.000005227
190Ta,189.969168,0.000215
190Tl,189.973841771,0.000007784
190W,189.963103542,0.000037993
191At,191.004148081,0.000017287
191Au,190.963716452,0.000005288
191Bi,190.985786972,0.000008037
191Hg,190.967158301,0.000023918
191Ir,190.960591455,0.000001406
191Os,190.960928105,0.000000707
191Pb,190.978216455,0.000007099
191Po,190.994558494,0.000007624
191Pt,190.961676261,0.000004430
191Re,190.963123322,0.000011019
191Ta,190.97153,0.000322
191Tl,190.971784093,0.000007889
191W,190.966531,0.000045000
192At,192.003140912,0.000029922
192Au,191.964817615,0.000016991
192Bi,191.985470077,0.000032326
192Hg,191.965634263,0.000016679
192Ir,191.962602414,0.000001410
192Os,191.961478765,0.000002484
192Pb,191.975789598,0.000006147
192Po,191.991340274,0.000011416
192Pt,191.961042667,0.000002758
192Re,191.966088,0.000076000
192Ta,191.975201,0.000429
192Tl,191.972225,0.000034000
192W,191.968202,0.000215
193At,192.999927725,0.000023222
193Au,192.964138442,0.000009311
193Bi,192.98294722,0.000008132
193Hg,192.966653395,0.000016645
193Ir,192.962923753,0.000001425
193Os,192.964149637,0.000002490
193Pb,192.976135914,0.000011044
193Po,192.991062421,0.000015599
193Pt,192.962984546,0.000001458
193Re,192.967545,0.000042000
193Rn,193.009707973,0.000026958
193Ta,192.97766,0.000429
193Tl,192.970501994,0.000007200
193W,192.971884,0.000215
194At,193.999230816,0.000025230
194Au,193.965419051,0.000002273
194Bi,193.982798581,0.000005638
194Hg,193.965449108,0.000003100
194Ir,193.965075703,0.000001429
194Os,193.965179407,0.000002579
194Pb,193.974011788,0.000018717
194Po,193.988186058,0.000013860
194Pt,193.962683498,0.000000532
194Re,193.970735,0.000215
194Rn,194.006145636,0.000017884
194Ta,193.98161,0.000537
194Tl,193.971081408,0.000015000
194W,193.973795,0.000322
195At,194.99627448,0.000010276
195Au,194.965037823,0.000001201
195Bi,194.980648759,0.000005675
195Hg,194.966705809,0.000024843
195Ir,194.965976898,0.000001431
195Os,194.968318,0.000060000
195Pb,194.974516167,0.000005461
195Po,194.988065781,0.000006486
195Pt,194.964794325,0.000000540
195Re,194.97256,0.000322
195Rn,195.005421703,0.000055487
195Tl,194.969774052,0.000011944
195W,194.977735,0.000322
196At,195.995799034,0.000032458
196Au,195.966571213,0.000003179
196Bi,195.980666509,0.000026224
196Hg,195.965833445,0.000003163
196Ir,195.968399669,0.000041239
196Os,195.969643261,0.000043000
196Pb,195.972787552,0.000008277
196Po,195.985540722,0.000005778
196Pt,195.964954648,0.000000547
196Re,195.975996,0.000322
196Rn,196.002120431,0.000015087
196Tl,195.970481189,0.000013000
196W,195.979882,0.000429
197At,196.993177353,0.000008570
197Au,196.966570103,0.000000581
197Bi,196.978864927,0.000008946
197Fr,197.011008086,0.000060584
197Hg,196.967213715,0.000003442
197Ir,196.969657217,0.000021588
197Os,196.973076,0.000215
197Pb,196.973434737,0.000005157
197Po,196.985621939,0.000010585
197Pt,196.96734303,0.000000575
197Re,196.978153,0.000322
197Rn,197.001621446,0.000017383
197Tl,196.969560492,0.000014573
197W,196.984036,0.000429
198At,197.992797864,0.000005265
198Au,197.968243714,0.000000579
198Bi,197.979201316,0.000029598
198Fr,198.010282081,0.000033419
198Hg,197.966769177,0.000000491
198Ir,197.972399,0.000215
198Os,197.974664,0.000215
198Pb,197.97201545,0.000009393
198Po,197.983388753,0.000018705
198Pt,197.967896718,0.000002254
198Re,197.98176,0.000429
198Rn,197.998679197,0.000014406
198Tl,197.970446669,0.000008100
199At,198.990527715,0.000005780
199Au,198.968766573,0.000000581
199Bi,198.977672841,0.000011395
199Fr,199.007269384,0.000014734
199Hg,198.968280994,0.000000564
199Ir,198.973807097,0.000044073
199Os,198.978239,0.000215
199Pb,198.97291262,0.000007322
199Po,198.983640445,0.000005828
199Pt,198.970597022,0.000002317
199Re,198.984187,0.000429
199Rn,198.998325436,0.000007833
199Tl,198.969877,0.000030000
19B,19.064166,0.000564000
19C,19.034797594,0.000105625
19F,18.99840316207,0.00000000088
19Mg,19.03417992,0.000064413
19N,19.017022389,0.000017610
19Na,19.013880264,0.000011309
19Ne,19.001880906,0.000000171
19O,19.003577969,0.000002830
1H,1.007825031898,0.000000000014
200At,199.990351099,0.000026264
200Au,199.970756558,0.000028681
200Bi,199.97813129,0.000024370
200Fr,200.006584666,0.000032769
200Hg,199.968326941,0.000000568
200Ir,199.976844,0.000210
200Os,199.980086,0.000322
200Pb,199.971818546,0.000010744
200Po,199.981812355,0.000008136
200Pt,199.971444609,0.000021588
200Rn,199.995705335,0.000006217
200Tl,199.970963608,0.000006182
201At,200.988417058,0.000008786
201Au,200.971657678,0.000003455
201Bi,200.976995017,0.000013072
201Fr,201.003852491,0.000009747
201Hg,200.970303054,0.000000763
201Ir,200.978701,0.000215
201Os,200.984069,0.000322
201Pb,200.972870431,0.000014758
201Po,200.982263799,0.000005305
201Pt,200.974513305,0.000053788
201Ra,201.012814699,0.000021794
201Rn,200.995590511,0.000010865
201Tl,200.970820235,0.000015228
202At,201.988625686,0.000029631
202Au,201.973856,0.000025000
202Bi,201.977723042,0.000015032
