# Numbers extracted using tools/atomic_weights.ipynb from https://www.ciaaw.org/atomic-masses.htm
Isotope,Atomic Mass [Da],Uncertainty [Da]
111Zr,110.960837,0.000644
112Ag,111.907048548,0.000002600
112Cd,111.902763896,0.000000268
112Cs,111.950172,0.000124
112I,111.928004548,0.000011000
112In,111.905538718,0.000004563
112Mo,111.938293,0.000215
112Nb,111.952689,0.000322
112Pd,111.907330557,0.000007027
112Rh,111.914405199,0.000047327
112Ru,111.918806922,0.000010305
112Sb,111.912399903,0.000019140
112Sn,111.904824894,0.000000315
112Tc,111.929941658,0.000005920
112Te,111.916727848,0.000009000
112Xe,111.935559068,0.000008891
112Zr,111.965196,0.000751
113Ag,112.906572865,0.000017866
113Ba,112.95737,0.000322
113Cd,112.904408105,0.000000262
113Cs,112.944428484,0.000009207
113I,112.923650062,0.000008600
113In,112.904060451,0.000000202
113Mo,112.943478,0.000322
113Nb,112.956833,0.000429
113Pd,112.910261912,0.000007458
113Rh,112.915440212,0.000007656
113Ru,112.922846729,0.000041097
113Sb,112.909374664,0.000018457
113Sn,112.905175857,0.000001690
113Tc,112.932569032,0.000003600
113Te,112.915891,0.000030000
113Xe,112.933221663,0.000007342
113Zr,112.971723,0.000322
114Ag,113.908823029,0.000004900
114Ba,113.950718489,0.000110227
114Cd,113.903364998,0.000000296
114Cs,113.941292244,0.000091323
114I,113.9220189,0.000021500
114In,113.904916405,0.000000323
114Mo,113.946666,0.000322
114Nb,113.962469,0.000537
114Pd,113.91036943,0.000007459
114Rh,113.91872168,0.000076824
114Ru,113.92461443,0.000003817
114Sb,113.909289155,0.000021226
114Sn,113.90278013,0.000000031
114Tc,113.93709,0.000465000
114Te,113.91208782,0.000026224
114Xe,113.927980329,0.000012000
115Ag,114.908767445,0.000019611
115Ba,114.947482,0.000215
115Cd,114.905437426,0.000000699
115Cs,114.93591,0.000110
115I,114.918048,0.000031000
115In,114.903878772,0.000000012
115Mo,114.952174,0.000429
115Nb,114.966849,0.000537
115Pd,114.913659333,0.000014543
115Rh,114.920311649,0.000007857
115Ru,114.929033049,0.000027016
115Sb,114.906598,0.000017203
115Sn,114.903344695,0.000000016
115Tc,114.9401,0.000210
115Te,114.911902,0.000030000
115Xe,114.926293943,0.000013000
116Ag,115.911386809,0.000003500
116Ba,115.941621,0.000215
